      prcdpro       |                 prdescr                  | praltez | prlargh | prlungh | prflgpp 
 81211834           | SEB-250ML PENETRAITT SHAMPOO .. ........ |     200 |      60 |      40 |       1
 81274102           | Niox Density Restoration Treatment 45ml  |     200 |      60 |      60 |       1
 81238101           | WPS PERFECT SETTING. 150 ml              |     200 |      92 |     132 |       1
 81233514           | WPC BRILLANCE TR LEAVE-IN COLORAT 150ml  |     200 |     130 |      90 |       1
 81311781           | SEB SHINE CRAFTER WAX 50ML               |     200 |     140 |      60 |       1
 81238128           | WPS STAY BRILLIANT 150ml                 |     200 |      90 |     130 |       1
 81234974           | WPC ENRICH TR LEAVE-IN FINI 150ml        |     200 |     132 |      90 |       1
 81234982           | WPC ENRICH SPRAY FINI 150ml              |     200 |     130 |      90 |       1
 81211822           | SEB-250ML LIGHT CONDITIONER......... ... |     200 |      40 |      60 |       1
 81234995           | WPC PRO COLOR REMOVER 150ml              |     200 |     132 |     100 |       1
 81308207           | WPC SUN Protection spray norm-fini 150ml |     200 |      87 |     130 |       1
 81308184           | WPC SUN Hair&Skin Hydrator no risc.150ml |     200 |      90 |     130 |       1
 81379420           | SP LUXE OIL 100ml                        |     200 |     200 |      70 |       1
 81278509           | PERFECTON BY CF /43 250ML C              |     210 |      55 |      55 |       1
 81278512           | PERFECTON BY CF /5 250ML C               |     210 |      55 |      55 |       1
 81278514           | PERFECTON BY CF /6 250ML C               |     210 |      55 |      55 |       1
 81278516           | PERFECTON BY CF /8 250ML C               |     210 |      55 |      55 |       1
 81127181           | SEB POTION 9 500ML                       |     210 |      70 |      70 |       1
 81287494           | SEB VOLUPT SHAMPOO 250ML 2011            |     210 |      60 |      60 |       1
 81211830           | SEB-250ML PENETRAITT CONDITIONER........ |     210 |      47 |      43 |       1
 81311810           | SEB STYLIXIR 500ML                       |     210 |      70 |      70 |       1
 81311808           | SEB TAMING ELIXIR 500ML                  |     210 |      70 |      70 |       1
 81238107           | WPS THERMAL IMAGE. 150 ml                |     210 |     135 |      90 |       1
 81311806           | SEB TEXTURIZER 500ML                     |     210 |      70 |      70 |       1
 81311775           | SEB TRILLIANCE CONDITIONER 250ML         |     210 |      60 |      40 |       1
 81311764           | SEB TRILLIANCE SHAMPOO 250ML             |     210 |      40 |      60 |       1
 81278507           | PERFECTON BY CF /3 250ML C               |     210 |      55 |      55 |       1
 81278510           | PERFECTON BY CF /44 250ML C              |     210 |      55 |      55 |       1
 81127134           | SEB HYDRE TREATMENT 150ML                |     212 |      60 |      40 |       1
 81127128           | SEB PENETRAITT MASQUE 150ML              |     216 |      60 |      40 |       1
 81127162           | SEB THICKEFY FOAM 200ML                  |     218 |      47 |      47 |       1
 81274167           | Niox System 4 Scalp Therapy 300ml        |     220 |      60 |      60 |       1
 81274135           | Niox System 2 Cleanser 300ml             |     220 |      60 |      60 |       1
 81274140           | Niox System 2 Scalp Therapy 300ml        |     220 |      60 |      60 |       1
 81274150           | Niox System 3 Cleanser 300ml             |     220 |      60 |      60 |       1
 81274154           | Niox System 3 Scalp Therapy 300ml        |     220 |      60 |      60 |       1
 81274163           | Niox System 4 Cleanser 300ml             |     220 |      60 |      60 |       1
 81274174           | Niox System 5 Cleanser 300ml             |     220 |      60 |      60 |       1
 81274179           | Niox System 5 Scalp Therapy 300ml        |     220 |      60 |      60 |       1
 81274186           | Niox System 6 Cleanser 300ml             |     220 |      60 |      60 |       1
 81274190           | Niox System 6 Scalp Therapy 300ml        |     220 |      60 |      60 |       1
 81278515           | PERFECTON BY CF /7 250ML C               |     220 |      60 |      60 |       1
 81232399           | SP 200 ml Polished Waves                 |     220 |     150 |     105 |       1
 81211826           | SEB-250ML LIGHT SHINE SHAMPOO... ....... |     220 |      70 |      50 |       1
 81211813           | SEB-250ML HYDRE CONDITIONER...... ...... |     220 |      70 |      50 |       1
 81396964           | SEBASTIAN SHINE CARE GIFT BOX comp.by    |     220 |     140 |      70 |       1
 81274090           | NIOX DEEP REPAIR HAIR MASQUE 150ML       |     220 |      60 |      40 |       1
 81274127           | Niox System 1 Scalp Therapy 300ml        |     220 |      60 |      60 |       1
 81371805           | WPS FLEXIBLE FINISH 250 ml               |     230 |     160 |     100 |       1
 81184718           | SEB TRILLIANT 150 ML                     |     235 |      40 |      40 |       1
 81127104           | SEB CELLOPHANES GOLDEN BRUNETTE 300ML    |     240 |      75 |      47 |       1
 81127098           | SEB CELLOPHANES HOT RED 300ML            |     240 |      75 |      47 |       1
 81127100           | SEB CELLOPHANES DEEP BRUNETTE 300ML      |     240 |      75 |      47 |       1
 81127116           | SEB CELLOPHANES GOLDEN RED 300ML         |     240 |      75 |      47 |       1
 81127114           | SEB CELLOPHANES RED BRUNETTE 300ML       |     240 |      75 |      47 |       1
 81127113           | SEB CELLOPHANES HONEY BLONDE 300ML       |     240 |      75 |      47 |       1
 81127112           | SEB CELLOPHANES GOLDEN BLONDE 300ML      |     240 |      75 |      47 |       1
 81127106           | SEB CELLOPHANES PEARL BLONDE 300ML       |     240 |      75 |      47 |       1
 81127083           | SEB CELLOPHANES SHINE CLEAR 300ML        |     240 |      75 |      47 |       1
 81127096           | SEB CELLOPHANES RED RED 300ML            |     240 |      75 |      47 |       1
 90104642           | EXCLUSIV NEW NO GAS EXTRA FORTE 250 ML.  |     250 |     220 |     200 |       1
 81129646           | SEB TM THICKENERE 2 300 ML               |     250 |      80 |      80 |       1
 81129650           | SEB TM SILKENER 1  300 ML                |     250 |      90 |      50 |       1
 90104641           | EXCLUSIV NEW NO GAS FORTE 250 ML.        |     250 |     220 |     200 |       1
 81311768           | SEB TRILLIANCE SHAMPOO 1000ML            |     260 |      80 |      80 |       1
 81311779           | SEB TRILLIANCE CONDITIONER 1000ML        |     260 |      80 |      80 |       1
 81163233           | BLONDOR MULTI BL GRAN 500G DE,FR,IT,UK   |     262 |      94 |      94 |       1
 81126738           | SEB LIGHT SHINE SHAMPOO 1LB              |     265 |      85 |      85 |       1
 81287479           | SEB VOLUPT SHAMPOO 1000ML 2011           |     265 |      85 |      85 |       1
 81126984           | SEB HYDRE CONDITIONER 1L                 |     265 |      85 |      85 |       1
 81126777           | SEB PENETRAITT CONDITIONER 1L            |     265 |      85 |      85 |       1
 81126762           | SEB HYDRE SHAMPOO 1L                     |     265 |      85 |      85 |       1
 81126747           | SEB PENETRAITT SHAMPOO 1L                |     265 |      85 |      85 |       1
 81160060           | SEB VOLUPT COND. 1000 ML                 |     265 |      85 |      85 |       1
 90191244           | WELLOXON PERFECT TR.1000 ML.  6%-20 VOL. |     269 |      90 |      90 |       1
 90191245           | WELLOXON PERFECT TR.1000 ML.  9%-30 VOL. |     269 |      90 |      90 |       1
 90191246           | WELLOXON PERFECT TR.1000 ML. 12%-40 VOL. |     269 |      90 |      90 |       1
 81409214           | WELLOXON PERFECT 1000ML 6% -D-F-I        |     269 |      90 |      90 |       1
 81116285           | COLOUR TOUCH L2C EMULSION 1000 ML 4%     |     269 |      90 |      90 |       1
 81116294           | COLOUR TOUCH L2C EMULSION 1000 ML 1.9%   |     270 |      90 |      90 |       1
 81274139           | Niox System 2 Scalp Therapy 1000ml       |     270 |      90 |      90 |       1
 81274173           | Niox System 5 Cleanser 1000ml            |     270 |      90 |      90 |       1
 81274121           | Niox System 1 Cleanser 1000ml            |     270 |      90 |      90 |       1
 81274101           | Niox Deep Repair Hair Masque 500ml       |     270 |      70 |      70 |       1
 81274185           | Niox System 6 Cleanser 1000ml            |     270 |      90 |      90 |       1
 81274178           | Niox System 5 Scalp Therapy 1000ml       |     270 |      90 |      90 |       1
 81274166           | Niox System 4 Scalp Therapy 1000ml       |     270 |      90 |      90 |       1
 81274189           | Niox System 6 Scalp Therapy 1000ml       |     270 |      90 |      90 |       1
 81274153           | Niox System 3 Scalp Therapy 1000ml       |     270 |      90 |      90 |       1
 81274148           | Niox System 3 Cleanser 1000ml            |     270 |      90 |      90 |       1
 81274134           | Niox System 2 Cleanser 1000ml            |     270 |      90 |      90 |       1
 81098103           | COLOR TOUCH PLUS EMULSION 1000 ML        |     273 |      94 |      94 |       1
 81297090           | WP Wave-It Neutr  1000ml                 |     275 |      94 |      94 |       1
 81296855           | WP Curl-It Neutr  1000ml                 |     276 |      95 |      95 |       1
 81297081           | WP Straight-It Neutr  1000ml             |     290 |     100 |     100 |       1
(193 rows)

