  ordprog   | cpnmcol | cpstato | cpprgcl | cpdteva  
 3017203343 |       2 | H       | 1000099 | 20200109
 3017222936 |       1 | H       | 1000099 | 20200110
 3017203343 |       3 | H       | 1000100 | 20200109
 3017222937 |       1 | H       | 1000100 | 20200110
 3017222937 |       2 | H       | 1000101 | 20200110
 3017203343 |       1 | H       | 1000101 | 20200109
 3017222938 |       1 | H       | 1000102 | 20200110
 3017203343 |       2 | H       | 1000102 | 20200109
 3017203344 |       1 | H       | 1000103 | 20200109
 3017222939 |       1 | H       | 1000103 | 20200110
 3017203344 |       2 | H       | 1000104 | 20200109
 3017224703 |       1 | H       | 1000104 | 20200110
 3017224704 |       1 | H       | 1000105 | 20200110
 3017203344 |       1 | H       | 1000105 | 20200109
 3017224705 |       1 | H       | 1000106 | 20200110
 3017203344 |       2 | H       | 1000106 | 20200109
 3017203346 |       1 | H       | 1000107 | 20200109
 3017225890 |       1 | H       | 1000107 | 20200110
 3017225895 |       1 | H       | 1000108 | 20200110
 3017203346 |       1 | H       | 1000108 | 20200109
 3017203346 |       2 | H       | 1000109 | 20200109
 3017225895 |       1 | H       | 1000109 | 20200110
 3017203346 |       3 | H       | 1000110 | 20200109
 3017225896 |       1 | H       | 1000110 | 20200110
 3017225899 |       1 | H       | 1000111 | 20200110
 3017203347 |       1 | H       | 1000111 | 20200109
 3017225900 |       1 | H       | 1000112 | 20200110
 3017203349 |       1 | H       | 1000112 | 20200109
 3017203349 |       1 | H       | 1000113 | 20200109
 3017225900 |       1 | H       | 1000113 | 20200110
 3017225901 |       1 | H       | 1000114 | 20200110
 3017203350 |       1 | H       | 1000114 | 20200109
 3017203350 |       1 | H       | 1000115 | 20200109
 3017225903 |       1 | H       | 1000115 | 20200110
 3017225905 |       1 | H       | 1000116 | 20200110
 3017203351 |       1 | H       | 1000116 | 20200109
 3017225906 |       1 | H       | 1000117 | 20200110
 3017203351 |       2 | H       | 1000117 | 20200109
 3017203351 |       1 | H       | 1000118 | 20200109
 3017225907 |       1 | H       | 1000118 | 20200110
 3017203352 |       1 | H       | 1000119 | 20200109
 3017225909 |       1 | H       | 1000119 | 20200110
 3017186643 |       1 | H       | 1000120 | 20200108
 3017225911 |       1 | H       | 1000120 | 20200110
 3017203352 |       2 | H       | 1000120 | 20200109
 3017225913 |       1 | H       | 1000121 | 20200110
 3017186643 |       2 | H       | 1000121 | 20200108
 3017203352 |       3 | H       | 1000121 | 20200109
 3017186643 |       3 | H       | 1000122 | 20200108
 3017225914 |       1 | H       | 1000122 | 20200110
 3017203352 |       1 | H       | 1000122 | 20200109
 3017225916 |       1 | H       | 1000123 | 20200110
 3017203368 |       1 | H       | 1000123 | 20200109
 3017186643 |       4 | H       | 1000123 | 20200108
 3017203372 |       1 | H       | 1000124 | 20200109
 3017186646 |       1 | H       | 1000124 | 20200108
 3017225917 |       1 | H       | 1000124 | 20200110
 3017186646 |       1 | H       | 1000125 | 20200108
 3017203372 |       2 | H       | 1000125 | 20200109
 3017225919 |       1 | H       | 1000125 | 20200110
 3017225921 |       1 | H       | 1000126 | 20200110
 3017186653 |       1 | H       | 1000126 | 20200108
 3017203376 |       1 | H       | 1000126 | 20200109
 3017203380 |       1 | H       | 1000127 | 20200109
 3017186653 |       2 | H       | 1000127 | 20200108
 3017225923 |       1 | H       | 1000127 | 20200110
 3017186653 |       1 | H       | 1000128 | 20200108
 3017203380 |       1 | H       | 1000128 | 20200109
 3017225924 |       1 | H       | 1000128 | 20200110
 3017203380 |       2 | H       | 1000129 | 20200109
 3017225927 |       1 | H       | 1000129 | 20200110
 3017186653 |       2 | H       | 1000129 | 20200108
 3017186685 |       1 | H       | 1000130 | 20200108
 3017225928 |       1 | H       | 1000130 | 20200110
 3017203391 |       1 | H       | 1000130 | 20200109
 3017203391 |       2 | H       | 1000131 | 20200109
 3017190364 |       1 | H       | 1000131 | 20200108
 3017225929 |       1 | H       | 1000131 | 20200110
 3017225932 |       1 | H       | 1000132 | 20200110
 3017190366 |       1 | H       | 1000132 | 20200108
 3017203391 |       1 | H       | 1000132 | 20200109
 3017225933 |       1 | H       | 1000133 | 20200110
 3017203391 |       2 | H       | 1000133 | 20200109
 3017190366 |       1 | H       | 1000133 | 20200108
 3017225934 |       1 | H       | 1000134 | 20200110
 3017190367 |       1 | H       | 1000134 | 20200108
 3017203393 |       1 | H       | 1000134 | 20200109
 3017203393 |       1 | H       | 1000135 | 20200109
 3017225937 |       1 | H       | 1000135 | 20200110
 3017190367 |       1 | H       | 1000135 | 20200108
 3017190368 |       1 | H       | 1000136 | 20200108
 3017203402 |       1 | H       | 1000136 | 20200109
 3017225939 |       1 | H       | 1000136 | 20200110
 3017225940 |       1 | H       | 1000137 | 20200110
 3017190368 |       2 | H       | 1000137 | 20200108
 3017203402 |       2 | H       | 1000137 | 20200109
 3017225942 |       1 | H       | 1000138 | 20200110
 3017203402 |       1 | H       | 1000138 | 20200109
 3017190368 |       1 | H       | 1000138 | 20200108
 3017190369 |       1 | H       | 1000139 | 20200108
 3017225942 |       1 | H       | 1000139 | 20200110
 3017203413 |       1 | H       | 1000139 | 20200109
 3017225944 |       1 | H       | 1000140 | 20200110
 3017190369 |       2 | H       | 1000140 | 20200108
 3017203413 |       1 | H       | 1000140 | 20200109
 3017190370 |       1 | H       | 1000141 | 20200108
 3017225945 |       1 | H       | 1000141 | 20200110
 3017203419 |       1 | H       | 1000141 | 20200109
 3017225947 |       1 | H       | 1000142 | 20200110
 3017190372 |       1 | H       | 1000142 | 20200108
 3017203428 |       1 | H       | 1000142 | 20200109
 3017190374 |       1 | H       | 1000143 | 20200108
 3017225948 |       1 | H       | 1000143 | 20200110
 3017203428 |       1 | H       | 1000143 | 20200109
 3017190374 |       2 | H       | 1000144 | 20200108
 3017203428 |       2 | H       | 1000144 | 20200109
