  materiale  | ubicazione | ubicazione_mappa | ubicazione_mappa 
 99350105244 | 115-161    | 1051161          | 1.05.1.16.1
 99350105244 | 115-161    | 1051161          | 1.05.1.16.1
 99350105354 | 212-154    | 2021154          | 2.02.1.15.4
 99350105354 | 212-154    | 2021154          | 2.02.1.15.4
 99350105354 | 212-154    | 2021154          | 2.02.1.15.4
 99350105354 | 212-154    | 2021154          | 2.02.1.15.4
 99350105357 | 216-134    | 2061132          | 2.06.1.13.2
 99350105357 | 216-134    | 2061132          | 2.06.1.13.2
 99350105361 | 212-011    | 2021014          | 2.02.1.01.4
 99350105361 | 212-011    | 2021014          | 2.02.1.01.4
 99350105364 | 214-032    | 2041032          | 2.04.1.03.2
 99350105368 | 216-061    | 2061061          | 2.06.1.06.1
 99350105371 | 223-173    | 2032173          | 2.03.2.17.3
 99350105371 | 223-173    | 2032173          | 2.03.2.17.3
 99350105371 | 223-173    | 2032173          | 2.03.2.17.3
 99350105374 | 218-071    | 2081071          | 2.08.1.07.1
 99350105374 | 218-071    | 2081071          | 2.08.1.07.1
 99350105413 | 111-103    | 1011103          | 1.01.1.10.3
 99350105413 | 111-103    | 1011103          | 1.01.1.10.3
 99350105414 | 112-092    | 1021092          | 1.02.1.09.2
 99350105414 | 112-092    | 1021092          | 1.02.1.09.2
 99350105415 | 114-111    | 1041111          | 1.04.1.11.1
 99350105688 | 115-072    | 1051072          | 1.05.1.07.2
 99350105688 | 115-072    | 1051072          | 1.05.1.07.2
 99350105688 | 115-072    | 1051072          | 1.05.1.07.2
 99350105689 | 116-044    | 1061044          | 1.06.1.04.4
 99350105689 | 116-044    | 1061044          | 1.06.1.04.4
 99350105690 | 214-174    | 2041174          | 2.04.1.17.4
 99350105715 | 213-134    | 2031134          | 2.03.1.13.4
 99350105715 | 213-134    | 2031134          | 2.03.1.13.4
 99350105715 | 213-134    | 2031134          | 2.03.1.13.4
 99350105716 | 214-104    | 2041104          | 2.04.1.10.4
 99350105742 | 213-141    | 2031141          | 2.03.1.14.1
 99350105750 | 213-091    | 2031091          | 2.03.1.09.1
 99350105750 | 213-091    | 2031091          | 2.03.1.09.1
 99350105750 | 213-091    | 2031091          | 2.03.1.09.1
 99350105757 | 214-091    | 2041091          | 2.04.1.09.1
 99350105764 | 215-091    | 2051091          | 2.05.1.09.1
 99350105764 | 215-091    | 2051091          | 2.05.1.09.1
 99350105773 | 224-033    | 2042033          | 2.04.2.03.3
 99350105773 | 224-033    | 2042033          | 2.04.2.03.3
 99350105773 | 224-033    | 2042033          | 2.04.2.03.3
 99350105977 | 215-102    | 2051102          | 2.05.1.10.2
 99350105977 | 215-102    | 2051102          | 2.05.1.10.2
 99350105977 | 215-102    | 2051102          | 2.05.1.10.2
 99350106011 | 217-071    | 2071071          | 2.07.1.07.1
 99350106011 | 217-071    | 2071071          | 2.07.1.07.1
 99350106012 | 217-031    | 2071031          | 2.07.1.03.1
 99350106012 | 217-031    | 2071031          | 2.07.1.03.1
 99350106013 | 214-131    | 2041131          | 2.04.1.13.1
 99350106017 | 217-013    | 2071013          | 2.07.1.01.3
 99350107327 | 112-021    | 1021021          | 1.02.1.02.1
 99350107327 | 112-021    | 1021021          | 1.02.1.02.1
 99350107328 | 118-051    | 1081051          | 1.08.1.05.1
 99350107328 | 118-051    | 1081051          | 1.08.1.05.1
 99350107328 | 118-051    | 1081051          | 1.08.1.05.1
 99350107328 | 118-051    | 1081051          | 1.08.1.05.1
 99350107328 | 118-051    | 1081051          | 1.08.1.05.1
 99350107328 | 118-051    | 1081051          | 1.08.1.05.1
 99350110379 | 122-051    | 1022051          | 1.02.2.05.1
 99350110379 | 122-051    | 1022051          | 1.02.2.05.1
 99350110380 | 121-091    | 1022011          | 1.02.2.01.1
 99350110380 | 121-091    | 1022011          | 1.02.2.01.1
 99350111688 | 218-133    | 2081133          | 2.08.1.13.3
 99350111688 | 218-133    | 2081133          | 2.08.1.13.3
 99350111688 | 218-133    | 2081133          | 2.08.1.13.3
 99350112358 | 124-172    | 1042172          | 1.04.2.17.2
 99350112360 | 214-044    | 2041043          | 2.04.1.04.3
 99350112360 | 214-044    | 2041043          | 2.04.1.04.3
 99350113538 | 114-133    | 1041133          | 1.04.1.13.3
 99350113539 | 123-082    | 1032082          | 1.03.2.08.2
 99350113540 | 123-073    | 1032073          | 1.03.2.07.3
 99350113540 | 123-073    | 1032073          | 1.03.2.07.3
 99350113542 | 114-174    | 1041174          | 1.04.1.17.4
 99350113542 | 114-174    | 1041174          | 1.04.1.17.4
 99350113542 | 114-174    | 1041174          | 1.04.1.17.4
 99350113543 | 123-112    | 1032112          | 1.03.2.11.2
 99350113543 | 123-112    | 1032112          | 1.03.2.11.2
 99350113544 | 116-023    | 1061023          | 1.06.1.02.3
 99350113544 | 116-023    | 1061023          | 1.06.1.02.3
 99350113544 | 116-023    | 1061023          | 1.06.1.02.3
 99350113545 | 114-112    | 1041112          | 1.04.1.11.2
 99350113545 | 114-112    | 1041112          | 1.04.1.11.2
 99350113546 | 112-033    | 1021033          | 1.02.1.03.3
 99350113546 | 112-033    | 1021033          | 1.02.1.03.3
 99350113547 | 113-024    | 1031024          | 1.03.1.02.4
 99350113547 | 113-024    | 1031024          | 1.03.1.02.4
 99350113548 | 124-023    | 1042023          | 1.04.2.02.3
 99350113549 | 124-094    | 1042094          | 1.04.2.09.4
