      prcdpro       |                 prdescr                  | prlungh | prlargh | praltez | prpesgr | prflgpp 
 81380293           | Niox Deep Re Hair Masq 500ml MULTILANG   |      70 |      70 |     270 |     568 |       1
 81380524           | SEB TRILLIANCE CONDITIONER 50ML          |      35 |      35 |     100 |      66 |       1
 81380502           | SEB PENETRAITT CONDITIONER 1L            |      85 |      85 |     265 |    1061 |       1
 81380510           | SEB-250ML PENETRAITT CONDITIONER         |      43 |      47 |     210 |     300 |       1
 81380492           | SEB MATTE PUTTY 75ML                     |      70 |      70 |      70 |     132 |       1
 81380295           | NIOX SYS6 SCALP REVIT 300ML D,F,I,NL,E,P |      60 |      60 |     220 |     341 |       1
 81566233           | SP DELICATE VOLUMES 200ML MULTILANG      |     150 |     105 |     215 |    1659 |       1
 81381488           | Seb Penetraitt Shampoo 50ml              |      40 |      40 |     100 |      65 |       1
 81380475           | SEB HYDRE CONDITIONER 1L                 |      85 |      85 |     265 |    1080 |       1
 81588054           | SEB HYDRE SHAMPOO 1000ML MULTILAN        |      80 |      80 |     260 |    1104 |       1
 81380477           | SEB PENETRAITT MASQUE 150ML              |      40 |      60 |     216 |     167 |       1
 81381563           | Seb Volupt Spray 50ml                    |     130 |     110 |      80 |     421 |       1
 81380481           | SEB-250ML HYDRE CONDITIONER              |      50 |      70 |     220 |     301 |       1
 81380519           | SEB TRILLIANCE CONDITIONER 1000ML        |      80 |      80 |     260 |    1068 |       1
 81380527           | SEB VOLUPT COND. 1000 ML                 |      85 |      85 |     265 |    1062 |       1
 81599996           | SEB COL IGNITE MUL SHP 1000ML MULTILAN   |      90 |      90 |     260 |    1128 |       1
 81384458           | WPC BRILLIANCE BALS. SZ.R. LUNGHI 150ml  |      90 |     130 |     200 |    1165 |       1
 81384452           | SP MEN DEF STRUCTURE 100 I,GB,SCAN,E,P   |     110 |     140 |     190 |     851 |       1
 81538077           | SP MEN MAXIMUM HOLD 100 D F I NL         |     145 |      95 |     185 |     890 |       1
 81537169           | NIOX SYS1 CLEANSER 300ML MULTILANG       |      60 |      60 |     220 |     340 |       1
 81243597           | Hair & Scalp Protect Lotion 125ml        |     149 |      77 |     166 |     958 |       1
 81237554           | WPC ENRICH ENDS-ELIXIR 40ml              |      70 |     110 |     160 |     789 |       1
 81250884           | BRILLIANCE MASK COARSE 500 ML            |     110 |     110 |      90 |     579 |       1
 81224242           | BLONDOR MULTIBLONDE POWDER 400G  - 3PCS  |     280 |     100 |     240 |    1626 |       1
 81250887           | BRILLIANCE MASK FINE 500 ML              |     110 |     110 |      90 |     576 |       1
 81537221           | NIOX SYS5 SCALP REVIT 1000ML MULTILANG   |      90 |      90 |     270 |    1074 |       1
 81537470           | NIOX SYS6 SCALP TREAT 100ML MULTILANG    |      50 |      40 |     180 |     151 |       1
 81229923           | SP VOLUMIZE SHAMPOO 30 ML                |     350 |     190 |     120 |    2071 |       1
 81237671           | WPC PRO TRATT PRE-ONDULAZ 18ml           |      70 |      90 |     110 |     300 |       1
 81237658           | WPC BALANCE LOZIONE ANTICADUTA 8x6ml     |     290 |     100 |     140 |     983 |       1
 81237667           | WPC ENRICH  REPAIR SERUM 8x10ml          |     140 |     110 |     300 |    1338 |       1
 81253644           | SP HYDRATE INFUSION 5ML BOM COMP DA 18PZ |     100 |     255 |     175 |     479 |       1
 81253646           | SP SMOOTHEN INFUSION 5ml BOM comp da 18p |     100 |     175 |     255 |     467 |       1
 81586555           | WP CURL-IT NEUTR 1000_DEP D-F-NL-I       |     100 |     100 |     275 |    1118 |       1
 81278510           | PERFECTON BY CF /44 250ML C              |      55 |      55 |     210 |     317 |       1
 81278512           | PERFECTON BY CF /5 250ML C               |      55 |      55 |     210 |     317 |       1
 81278514           | PERFECTON BY CF /6 250ML C               |      55 |      55 |     210 |     317 |       1
 81278515           | PERFECTON BY CF /7 250ML C               |      60 |      60 |     220 |     311 |       1
 81278516           | PERFECTON BY CF /8 250ML C               |      55 |      55 |     210 |     317 |       1
 81596345           | BL_FREELIGHTS_DVLPER_6 _20% VOL _1L      |      95 |      95 |     275 |    1120 |       1
 81253651           | SP COLOR SAVE INFUSION 5ml BOM comp da 1 |     100 |     175 |     255 |     467 |       1
 81274102           | Niox Density Restoration Treatment 45ml  |      60 |      60 |     200 |     170 |       1
 81259120           | SP SUN Concentrate 50ml                  |      80 |     110 |     130 |     422 |       1
 81274173           | Niox System 5 Cleanser 1000ml            |      90 |      90 |     270 |    1109 |       1
 81274174           | Niox System 5 Cleanser 300ml             |      60 |      60 |     220 |     350 |       1
 81274178           | Niox System 5 Scalp Therapy 1000ml       |      90 |      90 |     270 |    1072 |       1
 81274179           | Niox System 5 Scalp Therapy 300ml        |      60 |      60 |     220 |     337 |       1
 81274182           | NIOXIN SYSTEM 5 SCALP TREATMENT          |      40 |      60 |     160 |     138 |       1
 81537170           | NIOX SYS1 SCALP REVIT 300ML MULTILANG    |      60 |      60 |     220 |     340 |       1
 81537195           | NIOXTRIALKIT SYS4 150 150 40 DE FR IT NL |      60 |     110 |     180 |     466 |       1
 81278509           | PERFECTON BY CF /43 250ML C              |      55 |      55 |     210 |     317 |       1
 81274185           | Niox System 6 Cleanser 1000ml            |      90 |      90 |     270 |    1110 |       1
 81274186           | Niox System 6 Cleanser 300ml             |      60 |      60 |     220 |     355 |       1
 81274193           | NIOXIN SYSTEM 6 SCALP TREATMENT          |      40 |      50 |     180 |     149 |       1
 81274209           | Niox Trial Kit System 5                  |      60 |     110 |     180 |     463 |       1
 81589934           | WELLOXON PERFECT 1000ML 9%               |      94 |      94 |     275 |    1100 |       1
 81589946           | CT 1L EMULSION 1.9 %_6 VOL               |      94 |      94 |     275 |    1084 |       1
 81589947           | CT 1L EMULSION 4 %_13 VOL                |      94 |      94 |     275 |    1079 |       1
 81234974           | WPC ENRICH TR LEAVE-IN FINI 150ml        |      90 |     132 |     200 |    1155 |       1
 81381466           | Seb Volupt Shampoo 50ml                  |      40 |      40 |     100 |      65 |       1
 81311810           | SEB STYLIXIR 500ML                       |      70 |      70 |     210 |     700 |       1
 81153874           | SHINE LEAVE-IN CONDITIONER 125 ML        |     150 |      77 |     165 |    1004 |       1
 81232332           | SP 40 ml Sublime Reflection              |      70 |     110 |     160 |     788 |       1
 81232354           | SP 40 ml Exquisite Gloss                 |      70 |     110 |     160 |     812 |       1
 81253647           | SP VOLUMIZE INFUSION 5ml BOM comp da 18p |     100 |     175 |     255 |     470 |       1
 81163233           | BLONDOR MULTI BL GRAN 500G DE,FR,IT,UK   |      94 |      94 |     262 |     576 |       1
 81284214           | SP 200 ml Delicate Volume                |     150 |     103 |     220 |    1650 |       1
 81311330           | SP MEN SENSITIVE TON 125 I,GB,SCAN,E,P   |      90 |     150 |     170 |     960 |       1
 81380494           | SEB PENETRAITT PROF. MASQUE 500ML        |      70 |      70 |     210 |     560 |       1
 81639217           | CT PLUS 1L EMULSION 4%_13 VOL            |      94 |      94 |     275 |    1094 |       1
 81546059           | SP REPAIR SHP 250ML MULTILANG            |     140 |     120 |     175 |    1853 |       1
 81254147           | Seb Color Multi. Shampoo 50ml .......... |      30 |      30 |      95 |      68 |       1
 81311357           | SP MEN STRENGTH ELX 6 X 2 ML             |      30 |      90 |     250 |     121 |       1
 81381404           | Seb Hydre Shampoo 50ml                   |     100 |      40 |      40 |      65 |       1
 81381422           | Seb Hydre Conditioner 50ml               |      40 |      40 |     100 |      63 |       1
 81384423           | WPC ENRICH SPRAY DISTRICANTE 150ml       |      90 |     130 |     200 |    1140 |       1
 81539745           | SEB HYDRE SHAMPOO 250ML DE,FR,IT,NL      |      56 |      48 |     202 |     315 |       1
 81153916           | HYDRATE INFUSION 5 ML                    |      30 |      90 |     240 |     133 |       1
 81311354           | SP MEN HYDRATE ELX 6 X 2 ML              |      30 |      90 |     250 |     118 |       1
 81237663           | WPC BRILLANCE SERUM COL. SZ.RISC. 6x10ml |     120 |     180 |     240 |     769 |       1
 81391984           | REPAIR INFUSION 5 ML                     |      30 |      90 |     240 |     127 |       1
 81127083           | SEB CELLOPHANES SHINE CLEAR 300ML        |      47 |      75 |     240 |     342 |       1
 81127100           | SEB CELLOPHANES DEEP BRUNETTE 300ML      |      47 |      75 |     240 |     342 |       1
 81127106           | SEB CELLOPHANES PEARL BLONDE 300ML       |      47 |      75 |     240 |     342 |       1
 81127113           | SEB CELLOPHANES HONEY BLONDE 300ML       |      47 |      75 |     240 |     342 |       1
 81127263           | SEB SHINE DEFINE 200ML                   |      45 |      45 |      45 |     217 |       1
 81153826           | BALANCE SCALP ENERGY SERUM 100 ML        |     160 |      60 |     165 |     840 |       1
 81130373           | SEB HYDRE CONDITIONER 10ML               |      90 |      30 |       2 |      12 |       1
 81211840           | SEB-250ML VOLUPT CONDITIONER..... ...... |      58 |      58 |     200 |     297 |       1
 81274189           | Niox System 6 Scalp Therapy 1000ml       |      90 |      90 |     270 |    1075 |       1
 81274121           | Niox System 1 Cleanser 1000ml            |      90 |      90 |     270 |    1115 |       1
 81274135           | Niox System 2 Cleanser 300ml             |      60 |      60 |     220 |     350 |       1
 81274150           | Niox System 3 Cleanser 300ml             |      60 |      60 |     220 |     355 |       1
 81274148           | Niox System 3 Cleanser 1000ml            |      90 |      90 |     270 |    1123 |       1
