ios|cpu|modulo|riga|colonna
  0|  0|    19|   8|     17
  0|  0|    19|   3|     25
  0|  0|    19|   3|     17
  0|  0|    19|  18|     25
  0|  0|    19|  18|     17
  0|  0|    19|  13|     25
  0|  0|    19|  13|     17
  0|  0|    19|   7|     25
  0|  0|    19|   7|     17
  0|  0|    19|   2|     25
  0|  0|    19|   2|     17
  0|  0|    19|  17|     25
  0|  0|    19|  17|     17
  0|  0|    19|  12|     25
  0|  0|    19|  12|     17
  0|  0|    19|   6|     25
  0|  0|    19|   6|     17
  0|  0|    19|   1|     25
  0|  0|    19|   1|     17
  0|  0|    19|  16|     25
  0|  0|    19|  16|     17
  0|  0|    19|  11|     25
  0|  0|    19|  11|     17
  0|  0|    19|  32|     26
  0|  0|    19|  32|     18
  0|  0|    19|  32|     25
  0|  0|    19|  32|     17
  0|  0|    19|  31|     26
  0|  0|    19|  31|     18
  0|  0|    19|  31|     25
  0|  0|    19|  31|     17
  0|  0|    19|  19|     12
  0|  0|    19|  14|     12
  0|  0|    19|   9|     12
  0|  0|    19|   4|     12
  0|  0|    19|  19|     11
  0|  0|    19|  14|     11
  0|  0|    19|   9|     11
  0|  0|    19|   4|     11
  0|  0|    19|  18|     12
  0|  0|    19|  13|     12
  0|  0|    19|   8|     12
  0|  0|    19|   3|     12
  0|  0|    19|  18|     11
  0|  0|    19|  13|     11
  0|  0|    19|   8|     11
  0|  0|    19|   3|     11
  0|  0|    19|  17|     12
  0|  0|    19|  12|     12
  0|  0|    19|   7|     12
  0|  0|    19|   2|     12
  0|  0|    19|  17|     11
  0|  0|    19|  12|     11
  0|  0|    19|   7|     11
  0|  0|    19|   2|     11
  0|  0|    19|  16|     12
  0|  0|    19|  11|     12
  0|  0|    19|   6|     12
  0|  0|    19|   1|     12
  0|  0|    19|  16|     11
  0|  0|    19|  11|     11
  0|  0|    19|   6|     11
  0|  0|    19|   1|     11
  0|  0|    19|  19|     10
  0|  0|    19|  14|     10
  0|  0|    19|   9|     10
  0|  0|    19|   4|     10
  0|  0|    19|  22|      6
  0|  0|    19|  18|     10
  0|  0|    19|  13|     10
  0|  0|    19|   8|     10
  0|  0|    19|   3|     10
  0|  0|    19|  17|     10
  0|  0|    19|  12|     10
  0|  0|    19|   7|     10
  0|  0|    19|   2|     10
  0|  0|    19|  21|      6
  0|  0|    19|  16|     10
  0|  0|    19|  11|     10
  0|  0|    19|   6|     10
  0|  0|    19|   1|     10
  0|  0|    19|  19|      9
  0|  0|    19|  14|      9
  0|  0|    19|   9|      9
  0|  0|    19|   4|      9
  0|  0|    19|  22|      5
  0|  0|    19|  18|      9
  0|  0|    19|  13|      9
  0|  0|    19|   8|      9
  0|  0|    19|   3|      9
  0|  0|    19|  17|      9
  0|  0|    19|  12|      9
  0|  0|    19|   7|      9
  0|  0|    19|   2|      9
  0|  0|    19|  21|      5
  0|  0|    19|  16|      9
  0|  0|    19|  11|      9
  0|  0|    19|   6|      9
  0|  0|    19|   1|      9
  0|  0|    19|  19|      8
  0|  0|    19|  14|      8
  0|  0|    19|   9|      8
  0|  0|    19|   4|      8
  0|  0|    19|  22|      4
  0|  0|    19|  18|      8
  0|  0|    19|  13|      8
  0|  0|    19|   8|      8
  0|  0|    19|   3|      8
  0|  0|    19|  17|      8
  0|  0|    19|  12|      8
  0|  0|    19|   7|      8
  0|  0|    19|   2|      8
  0|  0|    19|  21|      4
  0|  0|    19|  16|      8
  0|  0|    19|  11|      8
  0|  0|    19|   6|      8
  0|  0|    19|   1|      8
  0|  0|    19|  19|      7
  0|  0|    19|  14|      7
  0|  0|    19|   9|      7
  0|  0|    19|   4|      7
  0|  0|    19|  22|      3
  0|  0|    19|  18|      7
  0|  0|    19|  13|      7
  0|  0|    19|   8|      7
  0|  0|    19|   3|      7
  0|  0|    19|  17|      7
  0|  0|    19|  12|      7
  0|  0|    19|   7|      7
  0|  0|    19|   2|      7
  0|  0|    19|  21|      3
  0|  0|    19|  16|      7
  0|  0|    19|  11|      7
  0|  0|    19|   6|      7
  0|  0|    19|   1|      7
  0|  0|    19|  19|      6
  0|  0|    19|  14|      6
  0|  0|    19|   9|      6
  0|  0|    19|   4|      6
  0|  0|    19|  22|      2
